
Total rows (correct): 419
('序号', '位置(上/下)', '焊脚尺寸hf(mm)', '焊缝长度(mm)', '备注', '零件1', '零件2', '构件号', '备注', None)
(318, 'Below', 12, 324, None, 'p195', 'p194', 'CO010', None, None)
(319, 'Above', 12, 110, None, 'CO010', 'p194', 'CO010', None, None)
(320, 'Below', 12, 110, None, 'CO010', 'p194', 'CO010', None, None)
(321, 'Above', 12, 139, None, 'CO010', 'p197', 'CO010', None, None)
(322, 'Below', 12, 139, None, 'CO010', 'p197', 'CO010', None, None)
(323, 'Above', None, 324, None, 'p195', 'p197', 'CO010', 'CJP', None)
(324, 'Below', 12, 324, None, 'p195', 'p197', 'CO010', None, None)
(325, 'Above', 12, 110, None, 'CO010', 'p197', 'CO010', None, None)
(326, 'Below', 12, 110, None, 'CO010', 'p197', 'CO010', None, None)
(327, 'Above', 9, 200, None, 'CO010', 'p195', 'CO010', None, None)
(328, 'Below', 9, 200, None, 'CO010', 'p195', 'CO010', None, None)
(329, 'Above', 12, 139, None, 'CO010', 'p194', 'CO010', None, None)
(330, 'Below', 12, 139, None, 'CO010', 'p194', 'CO010', None, None)
(331, 'Above', None, 324, None, 'p195', 'p194', 'CO010', 'CJP', None)
(332, 'Below', 12, 324, None, 'p195', 'p194', 'CO010', None, None)
(333, 'Above', 12, 110, None, 'CO010', 'p194', 'CO010', None, None)
(334, 'Below', 12, 110, None, 'CO010', 'p194', 'CO010', None, None)
(335, 'Above', 12, 139, None, 'CO010', 'p197', 'CO010', None, None)
(336, 'Below', 12, 139, None, 'CO010', 'p197', 'CO010', None, None)
(337, 'Above', None, 324, None, 'p195', 'p197', 'CO010', 'CJP', None)
(338, 'Below', 12, 324, None, 'p195', 'p197', 'CO010', None, None)
(339, 'Above', 12, 110, None, 'CO010', 'p197', 'CO010', None, None)
(340, 'Below', 12, 110, None, 'CO010', 'p197', 'CO010', None, None)
(341, 'Above', 9, 200, None, 'CO010', 'p195', 'CO010', None, None)
(342, 'Below', 9, 200, None, 'CO010', 'p195', 'CO010', None, None)
(343, 'Above', 12, 139, None, 'CO010', 'p194', 'CO010', None, None)
